id,source,target,length,foot,car_forward,car_backward,bike_forward,bike_backward,wkt
44638826,1380070061,5055787127,32.80356676021086,1,3,3,2,2,"LINESTRING(91.6642416 26.1450267, 91.6644034 26.1452831)"
44638826,5055787127,1380069046,45.1148941553255,1,3,3,2,2,"LINESTRING(91.6644034 26.1452831, 91.6646129 26.1456421)"
44638826,1380069046,4976867148,40.67619212837198,1,3,3,2,2,"LINESTRING(91.6646129 26.1456421, 91.6647486 26.1459866)"
44638826,4976867148,4976867149,23.580441100244645,1,3,3,2,2,"LINESTRING(91.6647486 26.1459866, 91.6648273 26.1461863)"
44638826,4976867149,5055787126,34.58444985755342,1,3,3,2,2,"LINESTRING(91.6648273 26.1461863, 91.6649427 26.1464792)"
44638826,5055787126,4976867143,33.627736365428476,1,3,3,2,2,"LINESTRING(91.6649427 26.1464792, 91.6650549 26.1467640)"
44638826,4976867143,1380068393,33.036346964635726,1,3,3,2,2,"LINESTRING(91.6650549 26.1467640, 91.6651651 26.1470438)"
44638826,1380068393,5055787135,87.33560287757359,1,3,3,2,2,"LINESTRING(91.6651651 26.1470438, 91.6653951 26.1478007)"
44638826,5055787135,4976867124,43.960052441834264,1,3,3,2,2,"LINESTRING(91.6653951 26.1478007, 91.6655108 26.1481817)"
44638826,4976867124,1380069684,9.715859597161172,1,3,3,2,2,"LINESTRING(91.6655108 26.1481817, 91.6655364 26.1482659)"
44638826,1380069684,1380069001,29.866161506552235,1,3,3,2,2,"LINESTRING(91.6655364 26.1482659, 91.6656507 26.1485138)"
44638826,1380069001,5055787133,8.4982656904085,1,3,3,2,2,"LINESTRING(91.6656507 26.1485138, 91.6657194 26.1485588)"
44638826,5055787133,1380070155,35.07739817493474,1,3,3,2,2,"LINESTRING(91.6657194 26.1485588, 91.6660030 26.1487445)"
44638826,1380070155,5055787134,33.01193469981125,1,3,3,2,2,"LINESTRING(91.6660030 26.1487445, 91.6663056 26.1488635)"
44638826,5055787134,5055787136,47.62151894472071,1,3,3,2,2,"LINESTRING(91.6663056 26.1488635, 91.6667421 26.1490352)"
44638826,5055787136,4976867276,217.19741020299108,1,3,3,2,2,"LINESTRING(91.6667421 26.1490352, 91.6687329 26.1498184)"
44638826,4976867276,566644027,20.50811781045505,1,3,3,2,2,"LINESTRING(91.6687329 26.1498184, 91.6689209 26.1498923)"
44638826,566644027,566644031,35.93653860870078,1,3,3,2,2,"LINESTRING(91.6689209 26.1498923, 91.6692631 26.1499916)"
44638826,566644031,5253827026,12.263046003571095,1,3,3,2,2,"LINESTRING(91.6692631 26.1499916, 91.6693828 26.1499673)"
44638826,5253827026,566644038,20.981981912852675,1,3,3,2,2,"LINESTRING(91.6693828 26.1499673, 91.6695876 26.1499257)"
44638826,566644038,5498694676,64.45691427799485,1,3,3,2,2,"LINESTRING(91.6695876 26.1499257, 91.6702045 26.1497565)"
44638826,5498694676,566644043,8.108586984213424,1,3,3,2,2,"LINESTRING(91.6702045 26.1497565, 91.6702821 26.1497352)"
44638826,566644043,566644045,29.578458379029545,1,3,3,2,2,"LINESTRING(91.6702821 26.1497352, 91.6705686 26.1496684)"
44638826,566644045,566644049,17.815274173579834,1,3,3,2,2,"LINESTRING(91.6705686 26.1496684, 91.6707451 26.1496910)"
44638826,566644049,566644051,24.404073269507577,1,3,3,2,2,"LINESTRING(91.6707451 26.1496910, 91.6709645 26.1497873)"
44638826,566644051,4972479607,24.899910842581853,1,3,3,2,2,"LINESTRING(91.6709645 26.1497873, 91.6711592 26.1499269)"
44638826,4972479607,6722775486,37.71972562894601,1,3,3,2,2,"LINESTRING(91.6711592 26.1499269, 91.6714438 26.1501495)"
44638826,6722775486,566644054,23.076505013990204,1,3,3,2,2,"LINESTRING(91.6714438 26.1501495, 91.6716179 26.1502857)"
44638826,566644054,7101120319,30.505029431562342,1,3,3,2,2,"LINESTRING(91.6716179 26.1502857, 91.6717981 26.1505069)"
44638826,7101120319,4972479778,40.17187975508927,1,3,3,2,2,"LINESTRING(91.6717981 26.1505069, 91.6720354 26.1507982)"
44638826,4972479778,4972479801,106.41438366490482,1,3,3,2,2,"LINESTRING(91.6720354 26.1507982, 91.6727609 26.1514980)"
44638826,4972479801,566644057,69.68766582414575,1,3,3,2,2,"LINESTRING(91.6727609 26.1514980, 91.6733361 26.1518520)"
44638826,566644057,566644059,46.82472585671492,1,3,3,2,2,"LINESTRING(91.6733361 26.1518520, 91.6737261 26.1520852)"
44638826,566644059,4972479840,10.45653375285793,1,3,3,2,2,"LINESTRING(91.6737261 26.1520852, 91.6738131 26.1521374)"
44638826,4972479840,4972479845,28.617592015951164,1,3,3,2,2,"LINESTRING(91.6738131 26.1521374, 91.6740511 26.1522804)"
44638826,4972479845,566644062,33.82282427611648,1,3,3,2,2,"LINESTRING(91.6740511 26.1522804, 91.6743178 26.1524675)"
44638826,566644062,4972479877,23.372602408541756,1,3,3,2,2,"LINESTRING(91.6743178 26.1524675, 91.6744603 26.1526340)"
44638826,4972479877,566644068,38.26608438496842,1,3,3,2,2,"LINESTRING(91.6744603 26.1526340, 91.6746936 26.1529066)"
44638826,566644068,5253836453,80.53656756341375,1,3,3,2,2,"LINESTRING(91.6746936 26.1529066, 91.6750932 26.1535349)"
44638826,5253836453,566644071,155.5223071324015,1,3,3,2,2,"LINESTRING(91.6750932 26.1535349, 91.6758962 26.1547317)"
44638826,566644071,2328418248,63.41720969456523,1,3,3,2,2,"LINESTRING(91.6758962 26.1547317, 91.6762589 26.1551992)"
44638826,2328418248,566643823,13.716622185406292,1,3,3,2,2,"LINESTRING(91.6762589 26.1551992, 91.6763311 26.1553040)"
44639059,4982716465,566685543,477.5661172785635,0,5,0,0,0,"LINESTRING(91.6712925 26.1614423, 91.6715312 26.1610836, 91.6719711 26.1603421, 91.6723659 26.1596655, 91.6731127 26.1583858, 91.6733538 26.1580946, 91.6736528 26.1577198)"
44639139,566709208,4993947058,103.93966765669686,1,3,3,2,2,"LINESTRING(91.7164007 26.1947695, 91.7161907 26.1956840)"
44639139,4993947058,7085611846,18.549359354543885,1,3,3,2,2,"LINESTRING(91.7161907 26.1956840, 91.7161532 26.1958472)"
44639139,7085611846,4976600781,30.061599316607534,1,3,3,2,2,"LINESTRING(91.7161532 26.1958472, 91.7160925 26.1961117)"
44639139,4976600781,4976600788,48.17850122029286,1,3,3,2,2,"LINESTRING(91.7160925 26.1961117, 91.7159952 26.1965356)"
44639139,4976600788,566709047,177.4178571706645,1,3,3,2,2,"LINESTRING(91.7159952 26.1965356, 91.7156368 26.1980966)"
44639139,566709047,4976600777,12.572606437532395,1,3,3,2,2,"LINESTRING(91.7156368 26.1980966, 91.7156124 26.1982074)"
44639139,4976600777,4994016414,138.9450645964071,1,3,3,2,2,"LINESTRING(91.7156124 26.1982074, 91.7153422 26.1994318)"
44639139,4994016414,4976600773,59.55604856594401,1,3,3,2,2,"LINESTRING(91.7153422 26.1994318, 91.7152263 26.1999566)"
44639139,4976600773,4976600739,60.734386124240395,1,3,3,2,2,"LINESTRING(91.7152263 26.1999566, 91.7151082 26.2004918)"
44639139,4976600739,4994016382,48.7271762390708,1,3,3,2,2,"LINESTRING(91.7151082 26.2004918, 91.7150135 26.2009212)"
